query_id,best_hit,best_evalue,best_score,score_mean,score_std,score_gmean
sp|A6NDV4|TMM8B_HUMAN,6YXH_A,0.00083,59.25,NaN,NaN,NaN
sp|K7EJ46|SIM22_HUMAN,6TD6_B,0.8,35.54,NaN,NaN,NaN
sp|O00292|LFTY2_HUMAN,5FFO_D,9e-21,157.07,79.55,28.34,75.97
sp|O00764|PDXK_HUMAN,6SU9_B,1.7e-43,312.83,126.67,60.95,115.00
sp|O43318|M3K7_HUMAN,4O91_A,6e-56,346.88,240.16,15.97,239.67
sp|O43405|COCH_HUMAN,4CN9_B,3.4e-28,203.72,90.08,23.90,87.60
sp|O43493|TGON2_HUMAN,6M0S_C,33.0,30.93,NaN,NaN,NaN
sp|O43809|CPSF5_HUMAN,2CL3_A,7.1e-53,333.92,244.66,63.12,237.29
sp|O60231|DHX16_HUMAN,7DVQ_x,6.1e-208,1654.09,233.03,262.00,170.10
sp|O60266|ADCY3_HUMAN,6R4P_A,1.2e-78,689.59,151.76,149.55,121.57
sp|O60890|OPHN1_HUMAN,4H8S_C,7.1e-25,192.54,131.96,25.58,129.37
sp|O75081|MTG16_HUMAN,2KNH_A,2.5e-30,214.96,133.22,51.26,123.05
sp|O75159|SOCS5_HUMAN,2N34_A,5.4e-29,199.45,105.24,48.81,96.16
sp|O75935|DCTN3_HUMAN,6ZNL_O,6.5e-28,172.88,172.88,0.00,172.88
sp|O95394|AGM1_HUMAN,2DKD_A,1.2e-87,617.17,201.49,144.39,173.43
sp|O95528|GTR10_HUMAN,4ZW9_A,7.6e-30,208.56,139.65,20.62,138.24
sp|O95672|ECEL1_HUMAN,3ZUK_B,2.3e-90,644.67,624.21,8.96,624.14
sp|P01210|PENK_HUMAN,5AC4_A,79.0,29.93,NaN,NaN,NaN
sp|P07204|TRBM_HUMAN,3M0C_C,1.6e-09,107.67,84.56,13.30,83.47
sp|P07902|GALT_HUMAN,6GQD_A,4.1e-56,375.17,94.75,71.84,79.90
sp|P09661|RU2A_HUMAN,7DCO_o,3.2e-41,255.79,115.31,75.56,96.63
sp|P0DTE8|AMY1C_HUMAN,6OCN_A,1.8e-61,413.0,156.69,51.07,150.61
sp|P10301|RRAS_HUMAN,7S0Z_D,1e-27,146.16,110.50,12.09,109.82
sp|P12004|PCNA_HUMAN,5HAC_F,2e-34,227.9,182.83,21.34,181.47
sp|P15260|INGR1_HUMAN,3BES_R,4.5e-22,169.86,86.70,30.27,82.81
sp|P15515|HIS1_HUMAN,5DO7_A,28.0,24.54,NaN,NaN,NaN
sp|P22310|UD14_HUMAN,7BV3_B,3.5e-32,218.83,132.00,40.48,125.41
sp|P23526|SAHH_HUMAN,3GLQ_A,2.6e-87,610.48,455.76,58.25,452.24
sp|P27540|ARNT_HUMAN,5V0L_A,7.4e-38,277.8,141.55,62.91,127.26
sp|P29373|RABP2_HUMAN,6I9F_A,1.5e-28,164.96,136.29,8.42,136.03
sp|P34903|GBRA3_HUMAN,6X3T_E,1.9e-45,311.62,210.44,62.82,198.58
sp|P35914|HMGCL_HUMAN,6NDS_A,7.4e-40,263.18,199.01,35.19,195.12
sp|P36894|BMR1A_HUMAN,3MDY_C,1.4e-50,309.2,165.76,18.69,164.85
sp|P39210|MPV17_HUMAN,1I8N_B,39.0,28.47,NaN,NaN,NaN
sp|P40818|UBP8_HUMAN,3N3K_A,2e-64,447.1,275.16,60.66,266.14
sp|P43004|EAA2_HUMAN,6MPB_A,2.1e-75,563.43,453.46,54.98,450.28
