query_id,best_hit,best_evalue,best_score,score_mean,score_std,score_gmean
tr|A0A3B3ISZ0|A0A3B3ISZ0_HUMAN,7CGP_B,3e-53,357.73,113.86,51.03,108.07
sp|A1L4H1|SRCRL_HUMAN,5ZE3_B,2.4e-33,278.39,113.76,72.50,98.97
sp|A2IDD5|CCD78_HUMAN,7KTR_D,60.0,32.95,NaN,NaN,NaN
sp|A3KMH1|VWA8_HUMAN,6ORB_A,4.3e-39,416.76,141.80,75.47,128.99
sp|A5YKK6|CNOT1_HUMAN,4C0D_A,1.3e-158,1353.65,574.00,320.73,489.58
sp|O00442|RTCA_HUMAN,7MQA_SH,3.2e-73,493.73,462.86,20.76,462.39
sp|O00512|BCL9_HUMAN,3SL9_H,4e-12,109.77,89.69,12.07,88.93
sp|O14730|RIOK3_HUMAN,6ZXG_z,3.1e-39,316.11,132.67,70.27,121.24
sp|O15232|MATN3_HUMAN,5E6U_A,1.1e-18,168.42,98.86,21.52,96.63
sp|O43314|VIP2_HUMAN,4NZN_A,2.7e-26,206.45,107.92,33.21,104.22
sp|O43541|SMAD6_HUMAN,7CD1_B,7.3e-34,234.18,169.02,49.10,161.28
sp|O43929|ORC4_HUMAN,7MCA_D,4.7e-45,331.21,84.21,37.88,80.15
sp|O60220|TIM8A_HUMAN,6LO8_F,1.6e-13,86.3,78.33,5.40,78.14
sp|O60503|ADCY9_HUMAN,6R4P_A,2.1e-187,1598.36,232.35,396.29,136.37
sp|O60762|DPM1_HUMAN,2ZU9_B,3.3e-17,141.09,105.82,15.81,104.59
sp|O75603|GCM2_HUMAN,1ODH_A,9.7e-36,256.75,256.75,0.00,256.75
sp|O75909|CCNK_HUMAN,6GZH_B,1.4e-31,273.46,158.11,43.63,152.26
sp|O76054|S14L2_HUMAN,4UYB_A,3.6e-75,481.48,188.26,84.30,173.16
sp|O95201|RHIT_HUMAN,6QNX_C,3e-39,326.9,97.54,49.90,87.20
sp|O95238|SPDEF_HUMAN,5L0P_A,1e-20,153.37,96.28,15.81,95.04
sp|O95258|UCP5_HUMAN,6GCI_A,3e-42,272.28,239.09,23.23,237.96
sp|P01579|IFNG_HUMAN,6E3K_A,7.6e-31,196.97,177.84,19.83,176.65
sp|P02549|SPTA1_HUMAN,1SJJ_A,3.5e-27,251.24,131.97,44.28,124.82
sp|P02671|FIBA_HUMAN,3GHG_J,6.2e-137,1076.74,268.70,173.86,234.26
sp|P02792|FRIL_HUMAN,1Z6O_K,6.9e-28,177.47,107.21,32.15,101.67
sp|P04001|OPSG_HUMAN,5W0P_C,1.8e-31,240.84,186.89,27.80,184.17
sp|P04141|CSF2_HUMAN,5D71_A,2.8e-78,464.71,419.57,32.04,418.35
sp|P05412|JUN_HUMAN,1JUN_B,2.7e-13,92.38,77.44,8.13,77.00
sp|P06734|FCER2_HUMAN,5G6U_D,4.8e-24,154.24,89.52,15.55,88.39
sp|P09884|DPOLA_HUMAN,5EXR_C,7.1e-191,1564.81,541.34,303.09,448.26
sp|P0DN84|DWORF_HUMAN,7MPA_A,2.1e-22,106.0,106.00,0.00,106.00
sp|P10746|HEM4_HUMAN,1JR2_A,2.3e-29,193.43,137.90,30.11,133.86
sp|P11171|EPB41_HUMAN,6D21_A,4.5e-58,405.06,200.29,60.10,192.22
sp|P13385|TDGF1_HUMAN,2J5H_A,4.9e-19,115.19,115.19,0.00,115.19
sp|P13497|BMP1_HUMAN,3KQ4_D,3.4e-57,379.34,118.33,59.27,107.37
sp|P17174|AATC_HUMAN,3K7Y_A,2.4e-35,236.53,86.08,27.65,82.99
sp|P20061|TCO1_HUMAN,4KKI_A,2.7e-43,314.95,189.25,90.46,160.72
sp|P20749|BCL3_HUMAN,6PW5_D,4.8e-24,209.38,137.95,25.68,135.49
sp|P20827|EFNA1_HUMAN,3CZU_B,3.7e-37,238.22,167.58,25.83,165.76
sp|P21741|MK_HUMAN,2LUU_A,3.4e-46,277.95,208.92,76.39,189.40
sp|P22314|UBA1_HUMAN,6DC6_C,6.7e-199,1561.99,439.67,474.56,272.54
sp|P22392|NDKB_HUMAN,7JTK_i,5e-24,177.05,136.56,11.52,136.09
sp|P22914|CRYGS_HUMAN,6IF9_A,9.6e-28,154.14,93.79,38.05,85.57
sp|P23142|FBLN1_HUMAN,3M0C_C,1.6e-19,180.73,96.67,33.61,91.17
sp|P30542|AA1R_HUMAN,5UEN_A,1.1e-40,253.73,179.87,29.61,176.72
sp|P30550|GRPR_HUMAN,5ZKP_A,2.6e-34,229.78,185.98,26.52,183.50
sp|P35243|RECO_HUMAN,4YI8_A,2e-25,142.87,72.51,19.32,70.35
sp|P35998|PRS7_HUMAN,6FVX_H,2.4e-88,594.63,124.12,58.52,115.06
sp|P36980|FHR2_HUMAN,3GAW_A,2e-29,227.94,84.50,34.28,79.02
sp|P41273|TNFL9_HUMAN,6MGP_A,1.5e-22,158.27,89.57,31.67,84.44
sp|P42356|PI4KA_HUMAN,6BQ1_A,1.1e-212,1900.36,368.72,247.47,316.17
sp|P43694|GATA4_HUMAN,4HC9_A,2e-20,120.4,73.29,33.37,66.73
sp|P50748|KNTC1_HUMAN,6WC4_A,1.2e-05,93.44,NaN,NaN,NaN
sp|P52569|CTR2_HUMAN,7B00_A,8.8e-34,258.74,197.13,53.83,187.71
sp|P54098|DPOG1_HUMAN,3IKM_D,2.1e-236,1974.67,191.98,380.11,125.59
sp|P55040|GEM_HUMAN,2G3Y_A,7e-30,185.79,99.71,12.20,98.98
sp|P56746|CLD15_HUMAN,4P79_A,3.8e-23,142.67,116.02,15.14,114.98
sp|P57105|SYJ2B_HUMAN,2XKX_B,7e-12,98.94,61.34,13.01,60.16
sp|P61626|LYSC_HUMAN,6T6C_A,5.1e-37,208.68,175.18,40.28,168.09
sp|P62269|RS18_HUMAN,7QEP_C8,4.5e-38,219.22,155.49,39.53,150.57
sp|P68104|EF1A1_HUMAN,5LZZ_jj,4.4e-76,559.84,133.94,111.74,106.54
sp|P69891|HBG1_HUMAN,3EOK_B,3e-19,111.79,86.41,11.15,85.70
sp|P78348|ASIC1_HUMAN,6VTK_B,5.7e-92,599.49,413.52,97.81,403.09
sp|P78412|IRX6_HUMAN,4EGC_A,0.0026,56.15,NaN,NaN,NaN
sp|P78543|BTG2_HUMAN,5CI9_A,2e-29,213.75,192.98,13.47,192.51
sp|P80217|IN35_HUMAN,5TF6_A,0.018,45.65,NaN,NaN,NaN
sp|Q00534|CDK6_HUMAN,1BLX_A,8.7e-66,366.2,220.76,19.42,219.98
sp|Q01534|TSPY1_HUMAN,5X7V_C,3.8e-31,206.55,186.91,11.56,186.54
sp|Q01628|IFM3_HUMAN,7NXD_A,21.0,31.12,NaN,NaN,NaN
sp|Q06413|MEF2C_HUMAN,6BZ1_B,1.5e-14,87.1,63.83,12.10,62.80
sp|Q07666|KHDR1_HUMAN,5EMO_B,1.1e-40,277.61,172.07,71.24,155.79
sp|Q12794|HYAL1_HUMAN,2PE4_A,2.1e-98,697.91,569.72,74.06,565.32
sp|Q13555|KCC2G_HUMAN,5U6Y_J,3.3e-67,419.47,237.62,21.37,236.78
sp|Q13564|ULA1_HUMAN,2NVU_A,1.1e-100,707.13,177.30,141.97,143.22
sp|Q14676|MDC1_HUMAN,3T7K_A,3.3e-15,150.61,103.82,21.57,101.78
sp|Q14749|GNMT_HUMAN,3THR_A,3.9e-36,226.28,76.23,12.93,75.59
sp|Q15072|OZF_HUMAN,6QNX_C,3.7e-50,377.91,94.47,51.77,83.87
sp|Q495C1|RN212_HUMAN,6ID1_q,0.00078,55.54,NaN,NaN,NaN
sp|Q5JSH3|WDR44_HUMAN,7K36_G,1.5e-15,159.35,126.55,11.91,126.00
sp|Q5T197|DCST1_HUMAN,2FIY_A,2.3,42.53,NaN,NaN,NaN
sp|Q5VT99|LRC38_HUMAN,3WN4_A,2.2e-17,137.4,80.64,16.43,79.07
sp|Q6P6C2|ALKB5_HUMAN,4NJ4_B,6.4e-29,202.12,110.92,46.01,103.47
sp|Q6Q788|APOA5_HUMAN,3K2S_A,1.5e-17,134.9,113.07,15.07,111.98
sp|Q6UWW8|EST3_HUMAN,5A7G_A,6.4e-85,575.19,194.72,182.86,131.66
sp|Q6UXH1|CREL2_HUMAN,5B4X_B,3.4e-08,88.56,78.23,6.13,77.99
sp|Q6UXZ3|CLM5_HUMAN,5OR7_C,1.4e-09,75.59,53.54,8.05,53.00
sp|Q6XYQ8|SYT10_HUMAN,1DQV_A,6e-34,215.9,86.12,36.11,80.78
